"timestamp","cpu_percent","mem_available_mb","pagefile_percent","disk_time_percent","disk_bytes_sec","gpu_temp_c","gpu_util_percent","gpu_mem_util_percent","gpu_mem_used_mb","gpu_mem_total_mb","gpu_power_w","gpu_power_limit_w","gpu_clock_mhz","gpu_mem_clock_mhz","gpu_pstate","top_process","top_process_cpu_seconds","game_process","game_working_set_mb"
"2026-05-31T17:04:22","0.01","44502","0.01","0.47","6443244.82","61","68","31","9127","16376","90.31","320.00","2685","11501","P0","codex","318","TheOuterWorlds2-WinGDK-Shipping","5432.4"
"2026-05-31T17:04:28","0.01","44494","0.01","0.06","276084.1","66","72","30","9132","16376","219.56","320.00","2670","11501","P0","codex","319.3","TheOuterWorlds2-WinGDK-Shipping","5463.3"
"2026-05-31T17:04:33","0.01","44584","0.01","0.65","6300475.54","67","73","30","9132","16376","228.99","320.00","2670","11501","P0","codex","320.1","TheOuterWorlds2-WinGDK-Shipping","5461.4"
"2026-05-31T17:04:38","0.01","44547","0.01","0.44","6028502.65","66","72","30","9132","16376","228.96","320.00","2670","11501","P0","codex","320.9","TheOuterWorlds2-WinGDK-Shipping","5459.6"
"2026-05-31T17:04:43","0.01","41832","0.01","0.37","1872199.64","53","21","9","8225","16376","44.79","320.00","915","5001","P3","codex","321.5","TheOuterWorlds2-WinGDK-Shipping","7940.1"
"2026-05-31T17:04:49","0.01","39844","0.01","0.12","2130261.51","65","97","23","10879","16376","199.80","320.00","2670","11501","P0","codex","321.5","TheOuterWorlds2-WinGDK-Shipping","8836.6"
"2026-05-31T17:04:54","0.01","39756","0.01","0.02","267739.36","67","93","34","10972","16376","248.07","320.00","2685","11501","P0","codex","321.5","TheOuterWorlds2-WinGDK-Shipping","8827.1"
"2026-05-31T17:04:59","0.01","39792","0.01","0.02","32427.3","68","95","35","10951","16376","254.41","320.00","2670","11501","P0","codex","321.5","TheOuterWorlds2-WinGDK-Shipping","8823.2"
"2026-05-31T17:05:04","0.01","39668","0.01","0.04","437079.56","68","96","35","10856","16376","248.60","320.00","2670","11501","P0","codex","322.1","TheOuterWorlds2-WinGDK-Shipping","8862.8"
"2026-05-31T17:05:09","0.01","39719","0.01","0.27","511513.86","69","97","35","10856","16376","255.54","320.00","2670","11501","P0","codex","322.2","TheOuterWorlds2-WinGDK-Shipping","8834.6"
"2026-05-31T17:05:14","0.01","39737","0.01","11.77","1760620.32","69","97","35","10856","16376","256.26","320.00","2670","11501","P0","codex","323.5","TheOuterWorlds2-WinGDK-Shipping","8831.9"
"2026-05-31T17:05:19","0.01","39560","0.01","15.27","2800380.61","68","86","30","10770","16376","236.60","320.00","2670","11501","P0","codex","325.6","TheOuterWorlds2-WinGDK-Shipping","8925.6"
"2026-05-31T17:05:24","0.01","39436","0.01","0.41","4004748.14","69","92","31","10799","16376","235.31","320.00","2670","11501","P0","codex","326.7","TheOuterWorlds2-WinGDK-Shipping","8933.4"
"2026-05-31T17:05:30","0.01","39472","0.01","0.24","1494441.02","67","90","33","10922","16376","241.30","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","331.4","TheOuterWorlds2-WinGDK-Shipping","8951.5"
"2026-05-31T17:05:35","0.01","39699","0.01","1.3","12265603.62","68","85","29","10724","16376","235.52","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","355.3","TheOuterWorlds2-WinGDK-Shipping","8843.3"
"2026-05-31T17:05:40","0.01","39702","0.01","1.41","12667529.22","68","91","34","10675","16376","243.77","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","370.8","TheOuterWorlds2-WinGDK-Shipping","8852.8"
"2026-05-31T17:05:45","0.01","39545","0.01","0.4","5130224.99","69","91","31","10695","16376","239.57","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","387.5","TheOuterWorlds2-WinGDK-Shipping","8861.6"
