"timestamp","cpu_percent","mem_available_mb","pagefile_percent","disk_time_percent","disk_mb_sec","gpu_temp_c","gpu_util_percent","gpu_mem_util_percent","gpu_mem_used_mb","gpu_mem_total_mb","gpu_power_w","gpu_power_limit_w","gpu_clock_mhz","gpu_mem_clock_mhz","gpu_pstate","game_process","game_working_set_mb","top_memory_process","top_memory_working_set_mb"
"2026-05-31T17:06:02","73.27","39496","0.01","0.33","2.38","69","84","29","10712","16376","222.55","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8821.2","TheOuterWorlds2-WinGDK-Shipping","8825.2"
"2026-05-31T17:06:08","43.26","39374","0.01","0.21","1.67","68","86","27","10764","16376","227.81","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8934.9","TheOuterWorlds2-WinGDK-Shipping","8937.1"
"2026-05-31T17:06:13","40.06","39368","0.01","0.03","0.5","69","87","28","10687","16376","236.36","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8934.7","TheOuterWorlds2-WinGDK-Shipping","8934.7"
"2026-05-31T17:06:18","39.28","39334","0.01","0.84","5.82","69","89","30","10735","16376","238.85","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8952.3","TheOuterWorlds2-WinGDK-Shipping","8952.3"
"2026-05-31T17:06:24","41.81","39357","0.01","0.28","0.55","68","87","29","10703","16376","230.94","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8950","TheOuterWorlds2-WinGDK-Shipping","8950"
"2026-05-31T17:06:29","41.24","39367","0.01","0.75","2.57","68","88","30","10694","16376","239.86","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8952.5","TheOuterWorlds2-WinGDK-Shipping","8952.5"
"2026-05-31T17:06:34","55.14","39273","0.01","0.06","0.84","69","86","30","10728","16376","231.03","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8973.6","TheOuterWorlds2-WinGDK-Shipping","8974.3"
"2026-05-31T17:06:39","37.83","39284","0.01","0.94","6.99","67","89","30","10742","16376","234.37","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8971.3","TheOuterWorlds2-WinGDK-Shipping","8966.9"
"2026-05-31T17:06:44","46.42","39250","0.01","1.05","8.06","69","83","27","10790","16376","237.24","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8987.6","TheOuterWorlds2-WinGDK-Shipping","8987.6"
"2026-05-31T17:06:49","38.99","39236","0.01","0.25","6.47","68","84","27","10742","16376","228.73","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","9000.8","TheOuterWorlds2-WinGDK-Shipping","9000.9"
"2026-05-31T17:06:54","44.49","39301","0.01","0.8","8.35","67","83","29","10746","16376","234.51","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8989.6","TheOuterWorlds2-WinGDK-Shipping","8989.6"
"2026-05-31T17:06:59","49.21","39280","0.01","0.6","2.32","68","84","28","10766","16376","234.39","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8927.9","TheOuterWorlds2-WinGDK-Shipping","8925.4"
"2026-05-31T17:07:04","37.49","39208","0.01","0.33","1.98","69","87","30","10794","16376","236.67","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8936.2","TheOuterWorlds2-WinGDK-Shipping","8936.2"
"2026-05-31T17:07:09","47.04","39194","0.01","0.03","0.25","69","82","27","10750","16376","229.19","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8934.7","TheOuterWorlds2-WinGDK-Shipping","8934.7"
"2026-05-31T17:07:14","43.16","39216","0.01","0.08","0.72","68","88","31","10709","16376","231.4","320","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","8927.5","TheOuterWorlds2-WinGDK-Shipping","8927.5"
